ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
23,1,5,1,5.765531,-9,-15.6,357.7235,195.8681,359.8789
23,1,5,1,5.875813,-9,-15.6,357.7219,195.8709,359.8833
23,1,5,1,5.987549,-9,-15.6,357.7223,195.8748,359.8829
23,1,5,1,6.099546,-9,-15.6,357.7217,195.8809,359.8772
23,1,5,1,6.21121,-9,-15.6,357.716,195.8739,359.8676
23,1,5,1,6.32284,-9,-15.6,357.715,195.8762,359.8897
23,1,5,1,6.434556,-9,-15.6,357.713,195.8664,359.8862
23,1,5,1,6.546367,-9,-15.6,357.7148,195.8759,359.8725
23,1,5,1,6.657808,-9,-15.6,357.7279,195.8681,359.885
23,1,5,1,6.770116,-9,-15.6,357.7079,195.8689,359.8837
23,1,5,1,6.881428,-8.999807,-15.59932,357.7263,195.8701,359.8734
23,1,5,1,6.994032,-8.980226,-15.53044,357.7243,195.8711,359.8705
23,1,5,1,7.105373,-8.919831,-15.31801,357.7249,195.8761,359.885
23,1,5,1,7.217435,-8.825955,-14.98775,357.7365,195.869,359.8847
23,1,5,1,7.328594,-8.706889,-14.5688,357.7391,195.8602,359.8842
23,1,5,1,7.440222,-8.579184,-14.11929,357.7343,195.8562,359.8869
23,1,5,1,7.551955,-8.451119,-13.66859,357.7342,195.8509,359.8938
23,1,5,1,7.663651,-8.322732,-13.21661,357.7323,195.8593,359.8794
23,1,5,1,7.775293,-8.195001,-12.76713,357.7342,195.8689,359.8865
23,1,5,1,7.886967,-8.066335,-12.31436,357.7283,195.8664,359.8788
23,1,5,1,7.998784,-8.011516,-12.12144,357.7201,195.8687,359.8931
23,1,5,1,8.110617,-8.011516,-12.12144,357.7288,195.8694,359.8942
23,1,5,1,8.222095,-8.011516,-12.12144,357.7241,195.8655,359.8854
23,1,5,1,8.333806,-8.011516,-12.12144,357.7259,195.866,359.8935
23,1,5,1,8.445732,-8.011516,-12.12144,357.7268,195.8717,359.8916
23,1,5,1,8.557845,-8.011516,-12.12144,357.7226,195.8715,359.8911
23,1,5,1,8.668999,-8.011516,-12.12144,357.7174,195.8691,359.8841
23,1,5,1,8.780582,-8.011516,-12.12144,357.7319,195.8576,359.8824
23,1,5,1,8.892491,-8.011516,-12.12144,357.7321,195.866,359.8979
23,1,5,1,9.003784,-8.011516,-12.12144,357.7213,195.8665,359.8949
23,1,5,1,9.115946,-8.011516,-12.12144,357.725,195.8662,359.8964
23,1,5,1,9.227477,-8.011516,-12.12144,357.7338,195.865,359.8993
23,1,5,1,9.339045,-8.011516,-12.12144,357.7326,195.8699,359.8902
23,1,5,1,9.450962,-8.011516,-12.12144,357.7278,195.86,359.8862
23,1,5,1,9.562606,-8.01149,-12.12135,357.7255,195.8579,359.8863
23,1,5,1,9.674091,-7.988185,-12.03935,357.7279,195.8611,359.8837
23,1,5,1,9.786028,-7.927992,-11.82749,357.7149,195.8604,359.881
23,1,5,1,9.898292,-7.839466,-11.51597,357.7088,195.8726,359.8726
23,1,5,1,10.00918,-7.747103,-11.19116,357.7143,195.8772,359.8864
23,1,5,1,10.12137,-7.695517,-11.00973,357.7174,195.878,359.8912
23,1,5,1,10.23294,-7.695517,-11.00973,357.7107,195.8745,359.8809
23,1,5,1,10.34444,-7.695517,-11.00973,357.7114,195.8734,359.8908
23,1,5,1,10.45612,-7.695517,-11.00973,357.7201,195.8708,359.8923
23,1,5,1,10.56813,-7.695517,-11.00973,357.7241,195.8742,359.8886
23,1,5,1,10.67972,-7.702925,-11.0358,357.7159,195.8743,359.8894
