ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,3,2,-18,6.456278E-09,12.54709,136.9203,358.1601
1,3,2,-18.01429,-0.008523208,12.92323,152.0832,1.571875
1,3,2,-18.05604,-0.02685755,13.31953,160.0034,2.596279
1,3,2,-18.10653,-0.04230221,13.33274,166.5001,2.150201
1,3,2,-18.11707,-0.04454813,12.00588,169.9054,1.448367
1,3,2,-18.11707,-0.04454813,9.560035,162.2195,0.2185044
1,3,2,-18.03949,-0.3772663,7.190422,145.0383,0.3098622
1,3,2,-17.92221,-1.325652,5.803412,116.7626,1.623173
1,3,2,-17.51915,-2.078565,5.665541,99.67974,1.741518
1,3,2,-16.89816,-2.75871,6.465607,88.10181,0.9148207
1,3,2,-16.17775,-3.331412,6.834799,79.19466,0.2327924
1,3,2,-15.42123,-3.725316,6.648668,66.08389,359.5458
1,3,2,-14.39059,-3.896008,6.88625,43.87151,359.4206
1,3,2,-13.54968,-3.756823,6.827479,29.34336,359.5511
1,3,2,-12.75177,-3.454447,7.380065,20.66494,358.709
1,3,2,-11.93331,-3.040829,8.613868,15.14197,357.8234
1,3,2,-11.19768,-2.615458,9.022284,15.09628,357.8363
1,3,2,-10.30614,-2.218678,10.75913,29.99278,356.9231
1,3,2,-9.403216,-2.224837,11.90936,57.82089,0.7084255
1,3,2,-8.647088,-2.603186,12.11102,81.83604,1.226803
1,3,2,-8.029936,-3.2718,13.92459,99.6503,0.8400637
1,3,2,-7.802741,-3.768557,16.96594,118.2441,359.5069
1,3,2,-7.803202,-3.769366,17.74179,130.22,2.694137
1,3,2,-7.803202,-3.769366,17.71246,142.5464,2.694515
1,3,2,-7.804,-3.769673,12.90582,160.5512,3.23207
1,3,2,-7.805471,-3.754198,11.11373,178.8154,2.943358
1,3,2,-7.791439,-3.652418,11.76649,200.7043,2.458563
1,3,2,-7.793726,-3.650837,11.38976,218.9576,2.952763
1,3,2,-7.801231,-3.642436,11.4139,236.8262,2.502097
1,3,2,-7.80532,-3.63453,12.16212,249.3715,2.698604
1,3,2,-7.80629,-3.587266,11.96248,258.5827,3.133925
1,3,2,-7.210852,-2.820019,11.92045,268.8998,2.623449
1,3,2,-6.951904,-2.169217,12.15854,273.3366,2.242606
1,3,2,-7.486103,-1.536996,11.93275,272.3292,1.030273
1,3,2,-8.097346,-0.8584108,14.08147,272.3416,0.7622724
1,3,2,-8.670292,-0.242172,14.82685,270.0844,359.8837
1,3,2,-9.35055,0.04264861,15.10462,267.7968,359.1931
1,3,2,-9.983185,0.06872679,14.80762,266.6878,359.575
1,3,2,-10.57041,0.03393373,13.6783,266.6616,0.008315086
1,3,2,-11.20521,-0.001818505,13.20167,266.8419,0.5653551
1,3,2,-11.79511,-0.03503788,12.88474,266.7683,0.819406
1,3,2,-12.52282,-0.07732299,12.27917,266.6604,1.016325
1,3,2,-13.11508,-0.1089297,12.09965,267.0677,1.332279
1,3,2,-14.02572,-0.15254,12.51187,266.9662,1.484594
