ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
00,1,1,2,11.34727,9,15.6,346.9479,170.62,1.315894
00,1,1,2,11.45908,9,15.6,337.9218,171.1457,1.066924
00,1,1,2,11.57069,9,15.6,342.0442,171.8619,0.7635231
00,1,1,2,11.68229,9,15.6,0.2833247,172.3967,0.7998359
00,1,1,2,11.79414,9,15.6,14.31382,172.8737,0.04565572
00,1,1,2,11.90571,9,15.6,23.72556,174.106,0.4215841
00,1,1,2,12.01748,9,15.6,22.87292,175.7809,0.2703121
00,1,1,2,12.12911,9,15.6,24.06491,176.543,0.1818348
00,1,1,2,12.24107,9,15.6,30.53114,176.8603,359.6558
00,1,1,2,12.3525,9,15.6,40.3345,176.8941,359.0439
00,1,1,2,12.46434,9.009185,15.40115,42.36934,177.9054,359.3217
00,1,1,2,12.57633,9.017569,15.03864,31.61779,179.9332,0.7234828
00,1,1,2,12.68812,9.006595,14.60865,14.89583,183.127,1.971037
00,1,1,2,12.80011,8.974415,14.15346,11.88583,185.1245,2.112891
00,1,1,2,12.9114,8.857021,13.83513,11.15623,186.7812,2.419251
00,1,1,2,13.02349,8.693168,13.78691,10.0306,189.661,3.134409
00,1,1,2,13.13506,8.693168,13.78691,7.042743,203.8237,6.477591
00,1,1,2,13.24765,8.693168,13.78691,4.246117,221.6727,8.971903
00,1,1,2,13.35918,8.693168,13.78691,2.999132,234.7065,9.78016
00,1,1,2,13.47013,8.693168,13.78691,2.284769,244.4989,9.592158
00,1,1,2,13.58171,8.693168,13.78691,2.166801,252.9587,9.462881
00,1,1,2,13.69337,8.693168,13.78691,1.696624,264.4999,9.644521
00,1,1,2,13.80528,8.693168,13.78691,0.8537164,277.8946,9.581608
00,1,1,2,13.91718,8.693168,13.78691,0.03628837,290.8212,9.667413
00,1,1,2,14.02866,8.693168,13.78691,359.8179,300.5243,9.407634
00,1,1,2,14.14034,8.693168,13.78691,359.632,308.5445,9.088352
00,1,1,2,14.25214,8.693168,13.78691,359.742,314.3965,8.970764
00,1,1,2,14.36379,8.693168,13.78691,0.5860428,316.4228,8.598753
00,1,1,2,14.47541,8.693168,13.78691,1.065399,317.6928,7.037688
00,1,1,2,14.58739,8.693168,13.78691,2.718331,315.8473,5.563725
00,1,1,2,14.69907,8.693168,13.78691,4.729943,316.1537,4.197145
00,1,1,2,14.81061,8.693168,13.78691,5.213189,321.1913,2.328207
00,1,1,2,14.92231,8.693168,13.78691,4.271431,328.4104,3.588386
00,1,1,2,15.03408,8.693168,13.78691,3.773457,338.27,4.389519
00,1,1,2,15.14561,8.693168,13.78691,2.654039,351.4092,6.299711
00,1,1,2,15.25739,8.693168,13.78691,0.9610367,6.698808,9.146277
00,1,1,2,15.36948,8.693168,13.78691,359.8189,24.90801,9.827534
