ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,2,0,-9,15,24.28436,277.4928,7.035811
1,2,0,-9,15,24.54311,274.3847,5.672598
1,2,0,-9,15,23.86742,273.1394,4.845565
1,2,0,-9,15,18.38497,268.6083,4.164912
1,2,0,-9,15,12.77587,258.5271,2.168525
1,2,0,-9,15,9.591931,245.6159,0.3535113
1,2,0,-9,15,8.091965,237.6213,0.05551873
1,2,0,-9,15,7.418841,239.6288,0.6451563
1,2,0,-9,15,6.711034,241.1371,1.046232
1,2,0,-9,15,5.990317,240.2584,0.8493959
1,2,0,-9,15,4.905934,239.9432,0.7714065
1,2,0,-9,15,3.737984,239.6483,0.9685883
1,2,0,-9,15,2.742619,238.2279,1.444014
1,2,0,-9,15,3.305227,235.7107,2.197752
1,2,0,-9,15,2.848209,229.6941,2.081865
1,2,0,-9,15,2.498,216.2882,2.362549
1,2,0,-9,15,2.586412,198.3623,2.6987
1,2,0,-9,15,2.821821,185.8484,1.206871
1,2,0,-9.123961,14.83049,3.996638,176.0782,0.2909982
1,2,0,-9.596497,14.10284,5.398185,168.1977,359.7408
1,2,0,-9.857585,13.41677,5.762,164.3773,359.6816
1,2,0,-9.956079,12.68147,4.377773,143.712,359.4259
1,2,0,-9.532038,12.0747,3.983451,114.7376,357.0048
1,2,0,-9.060098,11.63472,4.922854,111.138,355.7676
1,2,0,-8.531802,11.18421,4.730395,108.4763,355.674
1,2,0,-8.015094,10.79992,5.495283,103.5687,355.5142
1,2,0,-7.427351,10.43161,5.21976,98.83453,356.2528
1,2,0,-6.701572,10.11153,4.357904,90.32782,355.7059
1,2,0,-6.110571,9.853886,4.695881,95.70848,354.485
1,2,0,-5.509657,9.509166,5.142638,100.1597,354.8191
1,2,0,-4.95321,9.182486,3.400174,99.84679,355.0741
1,2,0,-4.357277,8.823153,2.805226,100.9976,354.9438
1,2,0,-3.724668,8.427738,2.698039,101.4146,355.6869
1,2,0,-3.173081,8.089669,2.310108,100.3465,355.9169
1,2,0,-2.577624,7.728468,2.823164,101.7021,355.2456
1,2,0,-2.096824,7.303386,4.256838,121.9062,355.7441
1,2,0,-1.894542,6.648678,5.780082,155.5463,358.3239
1,2,0,-1.978452,5.961922,6.71121,171.4836,358.493
1,2,0,-2.185848,5.300928,6.120069,178.9189,357.12
1,2,0,-2.408808,4.696483,5.60709,179.5274,357.5545
1,2,0,-2.64229,4.042755,5.745487,178.137,357.8626
1,2,0,-2.82935,3.426767,7.281544,174.2946,358.5375
1,2,0,-2.991427,2.754721,8.556023,171.5786,358.644
1,2,0,-2.988792,2.055245,8.8923,168.8702,358.4125
1,2,0,-2.860368,1.469434,8.579224,166.9337,358.4517
1,2,0,-2.435073,0.9079976,9.049619,165.7728,358.5117
1,2,0,-1.741546,0.4842225,8.8786,161.4935,358.3693
1,2,0,-0.8943162,0.1283453,8.763062,153.8141,357.7213
1,2,0,-0.1010937,-0.1777008,8.821678,139.3293,356.8052
1,2,0,0.4822933,-0.4366431,8.408667,126.0011,356.4052
1,2,0,1.063359,-0.7229515,7.089012,113.2768,356.0905
1,2,0,1.646213,-0.8751479,4.501385,98.24165,356.2608
1,2,0,2.296771,-0.911484,2.580261,90.1253,356.6357
1,2,0,3.089432,-0.8921286,1.386857,88.10768,356.8364
1,2,0,4.021842,-0.8544593,0.63532,86.9849,356.8084
1,2,0,4.953407,-0.7975643,0.489338,86.63731,357.2149
1,2,0,5.605648,-0.7601308,0.3070743,86.69588,357.2068
1,2,0,6.211337,-0.7258051,0.1994431,87.00701,357.1063
1,2,0,7.003858,-0.6901172,359.7413,87.76537,356.8015
1,2,0,7.936615,-0.6584871,359.1442,88.2235,356.9535
1,2,0,8.830264,-0.9283595,358.8396,88.56882,356.8814
1,2,0,9.494505,-1.32511,358.6682,88.49615,356.98
1,2,0,10.11329,-1.713894,358.8011,88.12625,356.6793
1,2,0,10.83029,-2.157626,358.7632,87.78062,356.5474
1,2,0,11.49984,-2.571171,358.7863,87.86455,356.6306
1,2,0,12.1212,-2.955721,358.7655,87.83521,356.444
1,2,0,12.79323,-3.365136,358.914,87.27842,356.4255
1,2,0,13.42148,-3.73831,358.5964,86.55053,356.2463
1,2,0,14.15807,-4.24498,4.499347,99.07523,352.3815
1,2,0,14.45291,-4.983188,14.56127,145.6109,354.3748
1,2,0,13.91967,-5.906108,14.96205,192.887,0.746665
1,2,0,12.97956,-6.474062,12.12746,211.8666,359.1622
1,2,0,12.29686,-6.695108,11.54545,222.2016,357.8881
1,2,0,11.47771,-6.806333,11.33203,235.0168,357.952
1,2,0,10.71181,-6.697896,10.81041,250.1596,359.7436
1,2,0,10.04532,-6.410124,9.91295,263.3898,1.486534
1,2,0,9.436545,-6.009862,8.282415,272.966,0.3759561
1,2,0,8.890351,-5.526981,7.498464,280.5274,359.1769
1,2,0,8.370754,-4.871243,9.28933,295.462,357.1143
1,2,0,8.083957,-4.146494,9.013401,309.4786,358.0424
1,2,0,7.984692,-3.43,9.497684,324.4926,357.1106
1,2,0,8.057654,-2.709202,8.617865,336.2273,358.047
1,2,0,8.280843,-1.95996,9.077344,346.1869,358.543
1,2,0,8.639449,-1.201996,8.564024,352.7462,358.489
1,2,0,8.98631,-0.562703,8.42123,354.8128,357.5303
1,2,0,9.377371,0.1144235,8.589541,355.0831,357.0277
1,2,0,9.727652,0.7510161,7.905793,353.1163,357.8585
1,2,0,10.02642,1.447218,6.210401,349.8507,358.4084
1,2,0,10.10126,2.176151,4.224921,345.5522,358.7578
1,2,0,10.03396,2.834059,2.830295,342.5737,359.7848
1,2,0,9.743033,3.671119,1.211736,341.2306,359.6584
1,2,0,9.412816,4.544557,0.9446397,341.0226,359.9829
1,2,0,9.099152,5.322998,4.834287,338.982,1.256086
1,2,0,8.824921,5.910388,8.296129,335.1662,1.993215
1,2,0,8.519106,6.479813,8.832041,332.8358,1.027283
1,2,0,8.223695,7.001211,9.102978,332.5209,1.046234
1,2,0,7.931946,7.524972,8.847638,333.2133,1.167382
1,2,0,7.621913,8.092052,8.396697,333.4456,1.228442
1,2,0,7.316404,8.66253,7.824247,334.2537,1.443175
1,2,0,7.021644,9.239516,7.442119,335.5108,1.917376
1,2,0,6.632995,10.02857,7.392193,335.8672,2.421287
1,2,0,6.228767,10.86335,5.758122,336.7718,2.373195
1,2,0,5.853961,11.5651,3.683997,339.4279,2.623612
1,2,0,5.316053,12.12334,1.515768,342.6544,2.968331
1,2,0,4.631772,12.56023,0.8547993,344.5698,3.192825
1,2,0,3.85963,12.98827,2.273842,334.7532,2.374346
1,2,0,3.054766,13.08873,3.050607,304.8867,359.9551
1,2,0,2.226027,12.79282,5.81399,285.1055,0.852356
1,2,0,1.545434,12.36476,7.471327,275.334,0.3307953
1,2,0,0.8500305,11.83948,7.656221,264.7333,0.4030954
1,2,0,0.05116512,10.94376,7.736719,254.0943,0.3578821
1,2,0,-0.6416023,10.0412,7.862423,253.0285,0.5318888
1,2,0,-1.179789,9.428055,7.673456,253.1362,1.070923
1,2,0,-1.735707,9.028716,6.02597,253.326,1.276725
1,2,0,-2.343959,8.625981,3.40858,253.6424,1.538774
1,2,0,-2.875571,8.283186,2.810509,254.3756,1.82179
1,2,0,-3.450999,7.918715,3.339358,254.6124,2.641731
1,2,0,-3.984859,7.579544,3.460302,254.2231,2.687316
1,2,0,-4.558138,7.222201,4.769705,252.603,3.362669
1,2,0,-5.344736,6.93041,6.968938,246.3388,4.289928
1,2,0,-6.215209,6.596897,6.738623,241.6747,3.1706
1,2,0,-7.089287,6.277697,7.319724,245.5697,3.518867
1,2,0,-7.623281,6.004644,7.620037,234.968,3.630751
1,2,0,-8.066017,5.539458,9.248657,215.357,3.175378
1,2,0,-8.327668,4.903261,10.17463,197.5371,2.547344
1,2,0,-8.387495,4.267441,13.92365,185.2428,359.9297
1,2,0,-8.334728,3.679434,15.36468,179.6125,0.3714642
