ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,5,1,-9,-15,30.16297,260.6738,9.337015
1,5,1,-9,-15,51.36368,231.0996,358.9433
1,5,1,-9,-15,55.44633,218.5396,350.813
1,5,1,-9,-15,57.27127,219.8017,353.5762
1,5,1,-9,-15,59.53388,217.4932,354.1325
1,5,1,-9,-15,54.76104,213.1323,353.416
1,5,1,-9,-15,37.78571,206.5092,353.025
1,5,1,-9,-15,14.7703,197.7292,354.4001
1,5,1,-9,-15,4.435782,187.1012,357.418
1,5,1,-9,-15,1.818867,181.0926,359.2782
1,5,1,-9,-15,1.857162,176.5549,0.4593034
1,5,1,-9,-15,2.904929,175.8964,0.02471485
1,5,1,-9.000169,-14.99997,5.993758,190.5723,357.0905
1,5,1,-9.001008,-14.99943,9.036146,233.627,356.4583
1,5,1,-9.00124,-14.99853,8.454781,270.236,0.3129019
1,5,1,-9.001093,-14.99769,7.735517,285.6795,359.1326
1,5,1,-9.000772,-14.9969,8.117823,297.5319,357.555
1,5,1,-9.000275,-14.99621,9.044288,312.3907,356.9611
1,5,1,-8.999665,-14.99574,10.6563,333.045,356.8742
1,5,1,-8.993289,-14.96717,11.02779,353.4893,358.4232
1,5,1,-8.751491,-14.44521,10.22826,7.302883,0.3032449
1,5,1,-8.247383,-13.9489,9.291073,16.42059,0.2105523
1,5,1,-7.644094,-13.47399,7.919221,21.26626,359.9799
1,5,1,-6.774782,-13.02254,9.294929,40.16485,1.265282
1,5,1,-5.680023,-12.95034,8.477241,62.53968,1.102074
1,5,1,-4.83294,-12.70777,8.014991,59.67517,1.356455
1,5,1,-4.461351,-12.13129,7.405983,41.96244,0.2491571
1,5,1,-4.118806,-11.63906,8.845865,30.99639,359.3313
1,5,1,-3.758711,-11.05091,10.92628,33.72809,359.5876
1,5,1,-3.402838,-10.57417,11.17215,38.55906,0.1359643
1,5,1,-2.974517,-10.09644,11.63484,37.77703,0.2795705
1,5,1,-2.586282,-9.642674,10.83879,33.68075,359.2896
1,5,1,-2.227913,-9.163429,10.35939,29.91584,359.286
1,5,1,-1.837662,-8.53551,8.821131,23.9147,359.5743
1,5,1,-1.507602,-8.024804,8.722178,22.95056,359.6151
1,5,1,-1.145765,-7.476161,9.137389,22.50376,359.967
1,5,1,-0.8014792,-6.974579,11.14553,24.47597,0.07949369
1,5,1,-0.4333457,-6.495057,13.54078,27.45191,0.0509371
1,5,1,-0.005467437,-5.902162,13.83563,27.81747,0.2410273
1,5,1,0.262695,-5.376445,13.50106,28.20833,359.8203
1,5,1,0.548641,-4.808161,12.80047,28.0811,359.8957
1,5,1,0.8163266,-4.279637,11.88341,24.11438,358.4536
1,5,1,1.0292,-3.675349,10.54158,16.90385,358.1317
1,5,1,1.218499,-3.01441,11.1251,16.13618,358.6371
1,5,1,1.594421,-2.518948,12.57189,20.81105,359.5803
1,5,1,2.269705,-2.170543,15.06963,25.48664,0.05810897
1,5,1,2.915008,-1.790893,17.12563,26.45008,-0.00340335
1,5,1,3.327377,-1.346563,16.97964,24.39259,359.8022
1,5,1,3.558599,-0.7157154,16.21987,22.36333,359.571
1,5,1,3.71348,-0.1001604,15.96688,22.66483,0.08791977
1,5,1,3.890942,0.4579703,15.79776,22.89745,0.3811614
1,5,1,4.080958,1.012758,14.70232,22.03398,0.203744
1,5,1,4.302898,1.606684,13.51712,21.25636,0.3636054
1,5,1,4.541258,2.246876,11.63946,17.20564,359.6499
1,5,1,4.850267,2.792892,8.797586,7.479147,358.5262
1,5,1,5.152359,3.424585,6.958334,359.6808,358.2386
1,5,1,5.385077,4.031754,7.357344,358.2494,358.6877
1,5,1,5.660915,4.628473,10.28265,3.612668,358.2964
1,5,1,6.563719,5.099555,16.67155,26.1293,0.5847058
1,5,1,7.393175,5.226278,18.00994,41.9338,2.643723
1,5,1,8.174773,5.293694,16.48728,58.49215,4.670814
1,5,1,8.335123,5.993982,12.36565,73.26616,6.680816
1,5,1,7.935585,6.581603,11.43421,81.50228,5.426816
1,5,1,7.253387,7.183412,11.50215,88.28211,5.016679
1,5,1,6.608499,7.838302,11.75883,91.70232,4.78277
1,5,1,6.012342,7.648561,12.05359,91.42696,4.285797
