ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,3,5,9,15,10.70617,151.3539,359.8294
1,3,5,9,15,10.83289,151.2283,359.8117
1,3,5,9,15,10.8907,151.2189,359.7754
1,3,5,9,15,11.02386,151.281,359.7288
1,3,5,9,15,11.05496,151.2825,359.7413
1,3,5,9,15,11.33869,152.761,359.2044
1,3,5,9,15,12.21066,162.6661,358.4198
1,3,5,9,15,13.27281,180.1245,359.7366
1,3,5,8.997198,14.99554,12.37573,195.308,1.333421
1,3,5,8.467093,14.57231,10.65953,197.2993,0.3532697
1,3,5,8.119783,14.02535,8.745344,178.6938,357.9836
1,3,5,8.127641,13.3413,6.138385,141.038,354.7163
1,3,5,8.435492,12.76018,5.790941,122.3273,353.371
1,3,5,8.767698,12.06699,6.734674,122.0003,353.6305
1,3,5,8.719158,11.00131,11.9013,164.9172,356.9914
1,3,5,7.597985,10.58753,10.83688,234.4659,4.647725
1,3,5,6.538475,11.0339,9.049137,256.4865,2.974537
1,3,5,5.837316,11.61826,10.54541,270.9296,0.9596919
1,3,5,5.252048,12.23519,11.238,267.4204,359.4572
1,3,5,4.599622,12.04807,10.84055,251.2162,0.5351588
1,3,5,4.282585,11.25853,10.56695,246.6251,358.8548
1,3,5,3.828766,10.79472,10.84856,249.8455,0.04268225
1,3,5,3.220642,10.58621,9.143862,253.2601,1.512255
1,3,5,2.626289,10.48141,8.114395,254.7257,1.532692
1,3,5,1.883938,10.39017,8.373654,253.7729,2.056864
1,3,5,1.277316,10.32425,7.447304,254.9891,3.663375
1,3,5,0.6629792,10.29178,7.472499,255.2567,3.462952
1,3,5,0.03254011,10.14651,8.505363,253.7612,3.662466
1,3,5,-0.4072101,9.5476,9.284867,252.7928,3.140043
1,3,5,-0.9206987,8.866043,8.482541,254.3432,3.957048
1,3,5,-1.490044,8.509196,8.622681,254.6562,4.114058
1,3,5,-2.049206,8.278186,8.649861,256.5208,5.303906
1,3,5,-2.657118,8.048862,8.751455,256.4303,5.254651
1,3,5,-3.15524,7.567902,8.538792,256.9496,4.832321
1,3,5,-3.737199,6.835371,8.768174,257.1674,4.657115
1,3,5,-4.245987,6.385037,9.26787,257.5833,4.399385
1,3,5,-4.82106,6.010729,9.576921,257.8181,4.464237
1,3,5,-5.357928,5.671255,9.566175,258.2116,4.814565
1,3,5,-5.936727,5.306369,9.280857,258.2684,4.862791
1,3,5,-6.560409,4.919854,9.111922,259.0263,4.853775
1,3,5,-7.110549,4.61597,9.377123,260.2043,5.155012
1,3,5,-7.71994,4.367241,9.724216,260.5242,4.985445
1,3,5,-8.346127,4.214294,10.09205,260.6206,4.946346
1,3,5,-8.930586,4.091844,10.39689,260.7855,4.839967
1,3,5,-9.604687,3.951683,10.45877,260.6777,4.926829
1,3,5,-10.18849,3.830314,10.84695,260.8856,4.851389
1,3,5,-10.77291,3.713123,10.69169,261.2265,4.891318
1,3,5,-11.40295,3.586706,10.34646,261.1955,4.929657
1,3,5,-11.98884,3.471133,10.15498,261.4258,4.853063
1,3,5,-12.71093,3.331333,9.743398,261.55,4.872438
1,3,5,-13.29698,3.207705,9.384078,261.456,4.999761
1,3,5,-13.87223,3.018414,9.352182,261.337,5.112958
1,3,5,-14.49,2.803864,9.220388,261.3401,5.229394
1,3,5,-15.06395,2.605151,9.172116,261.4395,5.263374
1,3,5,-15.7699,2.356636,9.286923,261.5767,5.26648
1,3,5,-16.3437,2.155922,9.40233,261.6986,5.199344
1,3,5,-16.91786,1.956838,9.520482,261.8267,5.114274
1,3,5,-16.98513,1.780677,10.03907,262.01,5.051204
1,3,5,-16.24914,1.232293,10.41016,262.1461,4.985782
