ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,3,0,-9,-15,15.31441,351.3474,358.8996
1,3,0,-9,-15,15.06934,351.3694,359.0347
1,3,0,-9,-15,14.85522,351.486,359.1284
1,3,0,-9,-15,14.2141,351.741,359.1643
1,3,0,-9,-15,13.01201,352.6018,359.2533
1,3,0,-9,-15,11.51961,354.9669,359.2548
1,3,0,-9,-15,9.247152,1.140469,359.1577
1,3,0,-9,-15,7.148912,8.335383,359.0316
1,3,0,-9,-15,5.906084,13.64272,358.3939
1,3,0,-9,-15,5.224209,16.0919,357.8933
1,3,0,-9,-15,5.000421,16.05014,357.7907
1,3,0,-8.843155,-14.75036,5.139076,14.29899,357.7926
1,3,0,-8.365152,-14.23037,5.390622,7.706189,358.6909
1,3,0,-7.858981,-13.56607,4.028264,348.8004,358.9192
1,3,0,-7.679293,-12.80806,2.536777,323.1474,358.6728
1,3,0,-7.781988,-11.82656,3.109194,305.3619,358.4944
1,3,0,-8.011189,-11.00439,3.043253,296.2598,357.511
1,3,0,-8.347186,-10.14581,1.932426,291.5802,357.5053
1,3,0,-8.704302,-9.367146,1.414459,289.7772,356.9704
1,3,0,-9.095502,-8.531607,1.074,290.4246,356.9641
1,3,0,-9.498434,-7.557956,1.680544,295.971,355.6857
1,3,0,-9.563275,-6.527686,6.561837,328.4307,355.4971
1,3,0,-8.589358,-5.769443,7.862078,36.33329,2.031554
1,3,0,-7.442068,-6.013058,6.776387,68.54152,1.991034
1,3,0,-6.660034,-6.496247,6.37789,82.02169,0.04028212
1,3,0,-5.912565,-7.1401,5.795507,87.27618,359.9562
1,3,0,-5.281718,-7.718759,4.861189,87.33361,359.4229
1,3,0,-4.647785,-8.293954,4.079492,86.66046,359.1132
1,3,0,-3.951738,-8.899889,2.229232,85.43083,359.3264
1,3,0,-3.273896,-9.17667,2.135969,84.43107,0.2274725
1,3,0,-2.646667,-8.505704,3.341442,83.15759,359.54
1,3,0,-2.119276,-7.829516,2.398273,82.91925,0.03208528
1,3,0,-1.512367,-7.414968,1.002737,82.76247,0.3344593
1,3,0,-0.904821,-7.379868,0.1291343,82.1416,0.6934938
1,3,0,-0.2183145,-7.668036,359.4332,86.41864,0.1953718
1,3,0,0.4615766,-8.123019,0.992534,102.2073,358.294
1,3,0,0.6810774,-8.779136,1.915934,148.8098,359.3741
1,3,0,0.5355973,-9.472475,2.126446,167.4056,2.253196
1,3,0,0.2322796,-10.17541,2.60111,175.7017,1.337744
1,3,0,-0.1458248,-10.8415,2.306431,179.4925,1.228436
1,3,0,-0.5172468,-11.54067,3.087732,180.0823,1.157128
1,3,0,-0.4152012,-12.18681,4.223863,174.3053,1.917985
1,3,0,0.09398016,-12.61693,6.882609,145.4401,2.935789
1,3,0,0.9155347,-12.4676,10.40269,110.1594,2.487929
1,3,0,1.631966,-11.90765,10.67398,89.93702,1.239328
1,3,0,2.175104,-11.25519,8.711192,81.45084,1.372228
1,3,0,2.734654,-10.55636,5.986339,74.44822,1.474419
1,3,0,3.429244,-10.28342,4.360723,71.75345,1.86114
1,3,0,4.31263,-9.988591,3.418011,71.6104,1.160519
1,3,0,5.136003,-9.65508,2.245297,72.44626,0.9383493
1,3,0,5.630201,-9.056114,2.7938,72.14914,0.6932891
1,3,0,6.114446,-8.311132,3.735063,69.60278,1.466954
1,3,0,6.452999,-7.623153,8.853209,58.53875,1.837783
1,3,0,6.594232,-6.880451,11.89946,42.44706,0.8393328
1,3,0,6.614972,-6.104627,11.39921,31.83758,359.5588
1,3,0,6.716426,-5.483068,8.750222,21.81147,358.6564
1,3,0,6.806189,-4.789468,6.615633,7.539684,357.291
1,3,0,6.822388,-4.140426,7.454211,2.696092,357.5313
1,3,0,6.837702,-3.540166,8.944544,1.872388,357.9249
1,3,0,6.845251,-2.941717,9.616215,359.6347,358.4496
1,3,0,6.826492,-2.343366,8.346162,356.6259,358.2367
1,3,0,6.877851,-1.590464,4.475068,352.2498,357.489
1,3,0,6.951075,-0.9685046,3.009545,351.8126,356.9228
1,3,0,7.026449,-0.346125,2.328483,351.8062,357.1882
1,3,0,7.102538,0.3249852,2.389383,351.3549,357.67
1,3,0,7.17297,0.9480322,2.920501,351.4987,357.7827
1,3,0,7.251894,1.666795,3.753106,350.9632,357.83
1,3,0,7.318084,2.337181,3.788419,350.908,358.1132
1,3,0,7.365486,2.957209,3.660455,351.2778,358.4354
1,3,0,7.422758,3.624085,4.003571,352.1585,358.0168
1,3,0,7.490269,4.241683,4.229954,353.4947,357.9418
1,3,0,7.601177,5.003309,3.872152,353.4545,358.2674
1,3,0,7.727162,5.628057,3.103716,352.832,358.3909
1,3,0,8.019577,6.32564,2.292537,352.0367,358.3433
1,3,0,8.323916,6.970379,5.459349,355.4943,357.7652
1,3,0,8.754186,7.51504,17.49716,16.62687,357.3224
1,3,0,9.499636,7.867429,23.55661,44.5501,359.7702
