ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
00,1,4,5,11.34727,9,15.6,31.98802,313.937,7.32817
00,1,4,5,11.45908,9,15.6,31.37725,319.3564,8.12938
00,1,4,5,11.57069,9,15.6,30.48531,321.5906,8.360693
00,1,4,5,11.68229,9,15.6,28.46519,320.3277,7.763829
00,1,4,5,11.79414,9,15.6,23.48097,311.243,5.110144
00,1,4,5,11.90571,9,15.6,14.8715,293.1526,1.216965
00,1,4,5,12.01748,8.999679,15.59828,8.013804,279.1962,1.283764
00,1,4,5,12.12911,9.001013,15.47061,4.438646,261.8166,0.7697537
00,1,4,5,12.24107,9.051454,15.28073,4.041302,247.3039,1.840775
00,1,4,5,12.3525,9.049761,15.07957,3.742969,230.9501,1.252965
00,1,4,5,12.46434,8.969554,14.74646,6.180059,225.9604,0.9921739
00,1,4,5,12.57633,8.779172,14.38405,8.357817,230.8102,2.543914
00,1,4,5,12.68812,8.478178,14.03531,8.690284,236.1956,2.570548
00,1,4,5,12.80011,8.145511,13.71033,7.674191,239.5087,2.671688
00,1,4,5,12.9114,7.79555,13.39915,5.898215,241.9286,2.162449
00,1,4,5,13.02349,7.431757,13.10403,4.469014,244.3568,2.032491
00,1,4,5,13.13506,7.055484,12.82015,2.665159,245.9095,1.830392
00,1,4,5,13.24765,6.67619,12.54438,1.675361,247.1323,2.236919
00,1,4,5,13.35918,6.306084,12.25577,1.467273,247.9468,2.471299
00,1,4,5,13.47013,6.027369,11.90534,1.417571,248.4298,2.391629
00,1,4,5,13.58171,5.869077,11.48516,0.6669834,249.2485,2.050001
00,1,4,5,13.69337,5.710025,11.05963,1.129236,250.485,1.781863
00,1,4,5,13.80528,5.464578,10.68316,0.8799721,251.2195,1.399461
00,1,4,5,13.91718,5.173924,10.33847,0.2810168,252.1147,0.4376558
00,1,4,5,14.02866,4.874871,10.00066,0.3008227,252.6377,0.6401654
00,1,4,5,14.14034,4.57474,9.66466,0.244611,252.4881,0.7667864
00,1,4,5,14.25214,4.277965,9.326223,1.564208,251.528,1.268172
00,1,4,5,14.36379,3.986607,8.982669,3.184452,250.9251,1.350337
00,1,4,5,14.47541,3.697914,8.638572,4.063626,250.9402,1.174059
00,1,4,5,14.58739,3.409869,8.294234,4.304065,251.2555,0.9464182
00,1,4,5,14.69907,3.132464,7.944533,4.302018,251.5379,0.7916766
00,1,4,5,14.81061,2.855131,7.592732,4.343452,251.8065,0.7024474
00,1,4,5,14.92231,2.575963,7.243023,4.54135,252.3015,0.8299302
00,1,4,5,15.03408,2.293956,6.895678,4.66363,252.818,1.031694
00,1,4,5,15.14561,2.006882,6.550187,4.706434,253.4027,1.360793
00,1,4,5,15.25739,1.716934,6.208704,4.926413,253.9807,1.394351
00,1,4,5,15.36948,1.423207,5.869431,5.025182,254.544,1.239963
00,1,4,5,15.48082,1.120244,5.536203,5.145194,255.2611,1.024402
00,1,4,5,15.59278,0.8031171,5.218847,5.09247,256.1556,0.7759509
00,1,4,5,15.70439,0.4780643,4.909627,4.974813,256.9689,0.651782
00,1,4,5,15.81592,0.1461684,4.609356,4.491368,257.4624,0.532038
00,1,4,5,15.92755,-0.1917249,4.313577,3.811662,257.649,0.505192
00,1,4,5,16.03919,-0.5320624,4.018456,2.834724,257.2556,1.235976
00,1,4,5,16.15161,-0.8716889,3.72179,2.334519,256.9499,2.558471
00,1,4,5,16.26287,-1.212517,3.427073,2.216449,256.9459,6.867651
00,1,4,5,16.37481,-1.556208,3.139521,2.99529,257.4068,11.17279
00,1,4,5,16.48616,-1.901086,2.853701,3.604399,257.0099,10.05334
00,1,4,5,16.59778,-2.258248,2.577536,4.591536,258.2233,8.106325
00,1,4,5,16.70949,-2.636025,2.318535,5.906529,259.8366,5.663608
00,1,4,5,16.82127,-3.026803,2.07172,6.515206,261.1892,3.613343
00,1,4,5,16.93333,-3.425866,1.835058,7.181902,262.7029,1.609494
00,1,4,5,17.04447,-3.831906,1.609124,7.618828,263.7968,0.3953241
00,1,4,5,17.15632,-4.241777,1.391396,8.996384,264.6911,359.8973
00,1,4,5,17.26784,-4.653094,1.180509,15.7943,265.9413,359.2325
00,1,4,5,17.3797,-4.970093,0.9004335,28.52195,266.9457,359.6731
00,1,4,5,17.49142,-5.125229,0.4868035,30.54827,267.0418,359.8389
00,1,4,5,17.60313,-5.259143,0.04934255,28.90158,267.4463,359.9328
00,1,4,5,17.71504,-5.468391,-0.333536,23.50924,267.6734,0.125525
00,1,4,5,17.82716,-5.843154,-0.5415767,19.22617,267.862,0.06662182
00,1,4,5,17.93822,-6.284299,-0.6378887,18.13865,267.5353,0.06511029
00,1,4,5,18.05002,-6.719785,-0.7445359,18.087,266.7141,0.1221761
00,1,4,5,18.16163,-7.076853,-0.9747338,18.17593,266.1323,0.1201121
00,1,4,5,18.2735,-7.412034,-1.243553,18.21678,266.1844,0.2690095
00,1,4,5,18.38514,-7.729018,-1.527052,18.51643,266.5413,0.5078773
