ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
00,1,2,3,11.34727,18,0,14.22115,97.53925,354.3879
00,1,2,3,11.45908,18,0,13.73443,96.6303,354.6984
00,1,2,3,11.57069,18,0,14.07402,97.72122,355.7829
00,1,2,3,11.68229,18,0,14.33576,98.15374,356.1198
00,1,2,3,11.79414,18,0,14.20352,98.29383,356.6636
00,1,2,3,11.90571,18,0,13.46643,97.8196,356.3639
00,1,2,3,12.01748,18,0,13.13743,97.69423,356.8018
00,1,2,3,12.12911,18,0,11.82726,101.281,356.7577
00,1,2,3,12.24107,18,0,10.5165,112.976,358.6829
00,1,2,3,12.3525,18,0,9.786129,127.9392,1.351988
00,1,2,3,12.46434,18,0,9.418198,144.4396,4.643299
00,1,2,3,12.57633,18,0,8.848944,160.4246,7.66321
00,1,2,3,12.68812,18,0,7.621596,173.7236,9.568284
00,1,2,3,12.80011,18,0,7.098407,183.6071,9.436459
00,1,2,3,12.9114,18,0,4.88235,190.4273,8.051204
00,1,2,3,13.02349,18,0,4.613709,195.9239,7.838621
00,1,2,3,13.13506,18,0,3.861373,203.042,7.423277
00,1,2,3,13.24765,18,0,5.308036,212.1433,4.786108
00,1,2,3,13.35918,18,0,5.750705,223.3322,5.370677
00,1,2,3,13.47013,18,0,5.155096,235.2126,4.693041
00,1,2,3,13.58171,18,0,4.167148,248.6333,4.979445
00,1,2,3,13.69337,18,0,2.733073,259.7924,4.897045
00,1,2,3,13.80528,18,0,3.121665,267.5296,4.30267
00,1,2,3,13.91718,18,0,2.287538,281.5128,5.711595
00,1,2,3,14.02866,18,0,2.035087,296.6965,6.778872
00,1,2,3,14.14034,18,0,1.349893,310.1765,5.985154
00,1,2,3,14.25214,18,0,0.9779355,323.0592,5.837231
00,1,2,3,14.36379,18,0,2.949354,329.128,4.198676
00,1,2,3,14.47541,17.99398,-0.00319278,5.564838,331.0278,1.971814
00,1,2,3,14.58739,17.60017,-0.08361816,6.957103,332.0063,0.02537045
00,1,2,3,14.69907,17.14011,-0.1417775,7.793101,332.518,359.1124
00,1,2,3,14.81061,16.67421,-0.196785,7.983303,333.4955,358.2325
00,1,2,3,14.92231,16.20708,-0.2440044,7.741621,334.0577,358.3122
00,1,2,3,15.03408,15.74157,-0.2883621,8.417579,334.6271,358.5327
00,1,2,3,15.14561,15.27505,-0.3286164,7.781596,334.7326,359.5093
00,1,2,3,15.25739,14.80823,-0.3698149,8.259492,335.2845,359.6792
00,1,2,3,15.36948,14.34013,-0.3959197,9.282069,337.3739,1.17478
00,1,2,3,15.48082,13.87755,-0.3743443,7.372632,338.4232,2.173568
00,1,2,3,15.59278,13.42589,-0.3051637,7.19442,338.9637,2.072544
00,1,2,3,15.70439,12.97686,-0.2301385,8.093942,339.5076,2.246388
00,1,2,3,15.81592,12.52857,-0.1514595,9.783212,340.2401,1.788448
00,1,2,3,15.92755,12.08208,-0.06879978,11.11209,340.908,1.802121
00,1,2,3,16.03919,11.63605,0.005622133,10.94379,341.4702,1.585727
00,1,2,3,16.15161,11.17448,0.02712292,10.89544,341.6364,1.632022
00,1,2,3,16.26287,10.70446,0.02430761,11.62621,341.942,1.714549
00,1,2,3,16.37481,10.23181,0.02373559,12.58133,342.8454,1.735398
00,1,2,3,16.48616,9.76178,0.03216713,12.1081,344.1417,1.793799
00,1,2,3,16.59778,9.291441,0.05065755,11.75997,345.083,1.646675
00,1,2,3,16.70949,8.81976,0.07776085,11.73138,345.8611,1.649951
00,1,2,3,16.82127,8.352187,0.1257596,11.82118,346.6115,1.764156
00,1,2,3,16.93333,7.890477,0.1919964,11.18275,347.3626,1.777538
00,1,2,3,17.04447,7.430707,0.2654026,10.40931,348.0128,1.701788
00,1,2,3,17.15632,6.972525,0.3449491,9.637569,348.7326,1.942596
00,1,2,3,17.26784,6.51542,0.4311913,8.573608,349.6482,2.22327
00,1,2,3,17.3797,6.060301,0.5263931,7.247714,351.0325,2.596533
00,1,2,3,17.49142,5.608743,0.6367642,5.8094,353.3506,3.338521
00,1,2,3,17.60313,5.160092,0.7659329,3.932919,355.0378,3.872398
00,1,2,3,17.71504,4.718153,0.9020764,5.834437,355.0537,4.184126
00,1,2,3,17.82716,4.307148,1.098218,4.528889,355.6657,3.300679
00,1,2,3,17.93822,3.910412,1.317686,4.446366,356.0334,3.132186
00,1,2,3,18.05002,3.515432,1.539092,4.407619,356.6677,2.351824
00,1,2,3,18.16163,3.088288,1.704541,5.270448,357.4801,2.404137
00,1,2,3,18.2735,2.630876,1.822086,4.245883,357.7301,1.815773
00,1,2,3,18.38514,2.169677,1.936698,3.96081,357.8463,1.568184
00,1,2,3,18.49713,1.76932,2.152087,3.551708,358.0098,1.406047
00,1,2,3,18.6084,1.461578,2.481853,3.202116,358.1012,1.07403
00,1,2,3,18.7202,1.226557,2.866091,3.183262,358.3319,0.8789772
00,1,2,3,18.83185,1.031157,3.282477,3.568808,358.6595,0.9008967
00,1,2,3,18.94372,0.8420745,3.704233,4.414528,359.211,1.127088
00,1,2,3,19.05567,0.6580334,4.128719,5.529964,359.8003,1.458566
00,1,2,3,19.16706,0.4959018,4.568995,5.61931,359.9756,1.608642
00,1,2,3,19.27888,0.3606467,5.020483,5.755833,359.9048,1.678427
00,1,2,3,19.39027,0.3110299,5.486914,6.008495,359.8703,1.658027
00,1,2,3,19.50207,0.3033946,5.954928,5.879278,356.6803,1.936021
00,1,2,3,19.61396,0.292882,6.090253,4.55138,337.5876,1.157539
