ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
00,1,6,1,11.34727,-9,-15.6,36.60081,277.1972,2.786558
00,1,6,1,11.45908,-9,-15.6,33.45261,271.9067,2.436993
00,1,6,1,11.57069,-9,-15.6,31.66493,267.3727,2.899865
00,1,6,1,11.68229,-9,-15.6,32.70982,265.8635,4.618099
00,1,6,1,11.79414,-9,-15.6,32.81388,268.8155,7.412141
00,1,6,1,11.90571,-9,-15.6,31.16475,271.9763,11.17311
00,1,6,1,12.01748,-9,-15.6,30.50115,273.0154,13.34697
00,1,6,1,12.12911,-9,-15.6,29.7877,273.0443,12.43009
00,1,6,1,12.24107,-9,-15.6,29.05032,272.5823,8.145129
00,1,6,1,12.3525,-9,-15.6,25.78642,273.2606,0.4207843
00,1,6,1,12.46434,-9,-15.6,21.39302,278.5518,355.263
00,1,6,1,12.57633,-9,-15.6,17.34107,288.4452,354.2256
00,1,6,1,12.68812,-9,-15.6,14.98422,300.2803,355.6108
00,1,6,1,12.80011,-9,-15.6,11.93025,311.7093,357.2852
00,1,6,1,12.9114,-9,-15.6,9.519028,321.0566,358.9998
00,1,6,1,13.02349,-9,-15.6,8.220955,327.9765,0.02704133
00,1,6,1,13.13506,-9,-15.6,7.801454,334.0829,0.3049819
00,1,6,1,13.24765,-9,-15.6,7.212927,340.5808,359.6873
00,1,6,1,13.35918,-9,-15.6,5.689263,347.4666,359.7674
00,1,6,1,13.47013,-9,-15.6,3.718133,353.091,359.8727
00,1,6,1,13.58171,-9,-15.6,1.966158,358.967,359.9768
00,1,6,1,13.69337,-9,-15.6,0.9363363,7.924301,0.8015717
00,1,6,1,13.80528,-9,-15.6,0.7653077,22.06814,3.369635
00,1,6,1,13.91718,-9,-15.6,2.357112,33.82773,3.348185
00,1,6,1,14.02866,-9,-15.6,2.770825,41.90097,3.930798
00,1,6,1,14.14034,-9,-15.6,3.823884,48.4728,2.180465
00,1,6,1,14.25214,-9,-15.6,4.405305,55.43387,0.7757657
00,1,6,1,14.36379,-9,-15.6,6.144725,63.45515,359.4433
00,1,6,1,14.47541,-9,-15.6,6.872949,70.31947,358.9838
00,1,6,1,14.58739,-9,-15.6,7.26554,79.07018,359.6328
00,1,6,1,14.69907,-8.968208,-15.41851,5.921263,89.81605,1.611879
00,1,6,1,14.81061,-8.754935,-15.02194,4.62788,99.00252,3.148848
00,1,6,1,14.92231,-8.411325,-14.72977,4.13068,109.3751,5.417313
00,1,6,1,15.03408,-7.995212,-14.54854,3.190236,119.8241,6.292191
00,1,6,1,15.14561,-7.547162,-14.53315,2.951655,132.6587,8.231507
00,1,6,1,15.25739,-7.113179,-14.62377,2.272328,145.3197,9.150416
00,1,6,1,15.36948,-7.017619,-14.63473,2.789624,152.6655,9.186446
00,1,6,1,15.48082,-7.017619,-14.63473,3.682002,149.1244,7.522671
00,1,6,1,15.59278,-6.841344,-14.48535,6.391802,135.8161,5.784991
00,1,6,1,15.70439,-6.552475,-14.11978,7.264008,118.9652,3.614803
00,1,6,1,15.81592,-6.383877,-13.68384,7.816177,101.9811,1.348161
00,1,6,1,15.92755,-6.290741,-13.22215,7.925781,96.26895,2.067176
00,1,6,1,16.03919,-6.23359,-12.75826,8.573654,91.71455,0.230047
00,1,6,1,16.15161,-6.213241,-12.28894,8.38519,87.82323,359.6219
00,1,6,1,16.26287,-6.232098,-11.82049,7.900057,85.49184,359.3842
00,1,6,1,16.37481,-6.245692,-11.34949,8.093434,84.03194,0.2068507
00,1,6,1,16.48616,-6.16809,-10.88802,8.209614,82.11799,0.6483684
00,1,6,1,16.59778,-5.978437,-10.48039,8.141693,80.71066,0.777814
00,1,6,1,16.70949,-5.631306,-10.19488,8.905447,79.82607,1.192507
00,1,6,1,16.82127,-5.233346,-9.956155,9.719909,79.74229,1.409034
00,1,6,1,16.93333,-4.83178,-9.720961,10.39618,80.23225,1.590742
00,1,6,1,17.04447,-4.427822,-9.492602,10.93777,81.71486,1.865172
00,1,6,1,17.15632,-4.001782,-9.311023,11.31904,84.91804,1.900927
00,1,6,1,17.26784,-3.55359,-9.195492,10.94624,90.31918,2.204097
00,1,6,1,17.3797,-3.092286,-9.148906,9.719057,103.0847,4.268304
00,1,6,1,17.49142,-2.63466,-9.218535,6.604568,124.9784,6.974417
00,1,6,1,17.60313,-2.219228,-9.399636,3.48542,146.7247,8.048956
00,1,6,1,17.71504,-1.805668,-9.559408,1.768899,159.4362,7.419993
00,1,6,1,17.82716,-1.390298,-9.726135,2.131499,163.7361,6.144899
00,1,6,1,17.93822,-0.9712422,-9.865516,3.053939,163.9088,4.760125
00,1,6,1,18.05002,-0.5378487,-9.973148,5.656682,159.8466,4.456742
00,1,6,1,18.16163,-0.08165406,-9.956819,8.692616,147.9273,4.545254
00,1,6,1,18.2735,0.3497394,-9.783656,11.11887,127.5727,2.919942
00,1,6,1,18.38514,0.6988983,-9.470406,11.09236,110.3044,359.8196
00,1,6,1,18.49713,0.9731191,-9.086737,10.71898,98.01703,358.806
00,1,6,1,18.6084,1.2031,-8.685844,9.366985,90.22241,359.0818
00,1,6,1,18.7202,1.42696,-8.288023,9.534884,87.913,359.3872
00,1,6,1,18.83185,1.678327,-7.912039,10.00316,87.51369,359.5976
00,1,6,1,18.94372,1.94707,-7.547292,10.35316,87.25472,359.6671
00,1,6,1,19.05567,2.218406,-7.183121,10.56259,87.54525,359.6586
00,1,6,1,19.16706,2.487073,-6.821046,10.64461,87.95889,359.4143
00,1,6,1,19.27888,2.748718,-6.609963,10.67817,89.02842,359.3806
00,1,6,1,19.39027,2.858457,-6.607755,9.362556,93.00995,359.7712
00,1,6,1,19.50207,2.881626,-6.609608,6.78266,104.5657,2.187297
00,1,6,1,19.61396,2.881626,-6.609608,4.661621,122.4842,4.469713
00,1,6,1,19.72556,2.881626,-6.609608,3.992296,140.8199,5.862098
00,1,6,1,19.83735,2.881626,-6.609608,3.710584,155.5033,6.072701
00,1,6,1,19.94907,2.881626,-6.609608,3.709356,162.3662,5.230283
00,1,6,1,20.06115,2.881626,-6.609608,3.86271,164.8313,5.032659
00,1,6,1,20.17231,2.945614,-6.587597,6.280717,159.2205,4.908529
00,1,6,1,20.28408,3.253148,-6.414231,12.18785,142.1673,5.341176
00,1,6,1,20.39598,3.559793,-6.063204,15.49193,120.0095,1.698017
00,1,6,1,20.50748,3.728917,-5.630079,15.01989,103.7442,358.9907
00,1,6,1,20.61934,3.802351,-5.164464,13.45908,95.60468,358.7395
00,1,6,1,20.73059,3.832384,-4.697066,11.61271,91.67277,359.0526
00,1,6,1,20.84263,3.837344,-4.232718,10.11017,89.18958,359.6207
00,1,6,1,20.95407,3.829834,-3.924723,9.622136,87.77888,0.9426873
00,1,6,1,21.06586,3.829526,-3.917318,10.03603,86.40043,1.690076
00,1,6,1,21.17763,3.829526,-3.917318,11.25324,85.63605,1.543075
00,1,6,1,21.28929,3.882953,-3.928915,12.51424,85.98045,1.422438
00,1,6,1,21.40098,4.223755,-3.981145,12.87955,85.92272,1.010405
00,1,6,1,21.51272,4.663455,-3.906636,12.8902,85.84986,0.5497591
00,1,6,1,21.62452,5.025258,-3.662517,12.81913,86.16785,0.4085459
00,1,6,1,21.73609,5.351482,-3.485686,12.88743,86.93731,0.6269875
00,1,6,1,21.84793,5.636907,-3.577154,12.64396,87.4142,0.8638827
00,1,6,1,21.95975,5.948112,-3.889918,12.24425,87.28204,0.7834367
00,1,6,1,22.07107,6.348188,-4.065034,12.03932,86.72668,0.6741557
00,1,6,1,22.18291,6.805008,-4.037372,12.33821,86.3938,0.534492
00,1,6,1,22.29494,7.24785,-3.930121,13.89318,86.51548,0.5996951
00,1,6,1,22.40666,7.682742,-3.790557,14.45742,86.3345,0.8053176
00,1,6,1,22.5185,8.136643,-3.754023,14.0772,85.9371,0.8207417
00,1,6,1,22.6299,8.590574,-3.758915,13.93974,85.82508,0.7843103
00,1,6,1,22.74135,9.045322,-3.863313,13.90901,85.69312,0.6172211
00,1,6,1,22.85304,9.500755,-3.834149,14.07794,85.52237,0.5233309
00,1,6,1,22.96477,9.954111,-3.797647,14.31354,85.30013,0.5287758
