ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,1,0,9,-15,18.48698,316.6754,358.1992
1,1,0,9,-15,24.6729,316.7899,358.3459
1,1,0,9,-15,26.50003,316.2612,358.7821
1,1,0,9,-15,25.07976,314.1932,358.2799
1,1,0,9,-15,20.73055,313.0352,357.7082
1,1,0,9,-15,15.71711,312.5027,357.7477
1,1,0,9,-15,12.18643,311.0184,357.1544
1,1,0,9,-15,7.902559,308.6719,356.0648
1,1,0,9,-15,7.076135,308.7707,354.8604
1,1,0,9,-15,9.991506,310.563,354.6802
1,1,0,9,-15,12.22397,311.4844,355.0833
1,1,0,9,-15,13.08279,312.8405,356.0449
1,1,0,9,-15,13.19151,312.6099,356.606
1,1,0,9,-15,13.40161,311.8631,356.9939
1,1,0,9,-15,13.87765,311.9612,356.9919
1,1,0,9,-15,13.70707,312.8942,357.1318
1,1,0,9,-15,13.55623,313.4724,357.1932
1,1,0,9,-15,13.36669,313.5827,357.7494
1,1,0,9,-15,13.29619,313.6387,358.137
1,1,0,9,-15,12.8699,313.6845,358.6239
1,1,0,9,-15,12.80259,312.4172,359.063
1,1,0,9,-15,12.84737,312.4413,358.7276
1,1,0,9,-15,12.88387,314.2648,358.5341
1,1,0,9,-15,12.81605,315.2887,358.6897
1,1,0,9,-15,12.34631,314.4552,358.9101
1,1,0,9,-15,11.12312,311.513,359.5731
1,1,0,9,-15,2.746058,299.7258,0.6403239
1,1,0,9,-15,1.49284,287.1061,2.733698
1,1,0,9,-15,5.173357,278.8621,2.680312
1,1,0,9,-15,7.668349,283.6396,1.533015
1,1,0,9,-15,9.061567,305.1331,1.370146
1,1,0,9,-15,8.719217,330.5047,1.861913
1,1,0,9,-15,9.837709,348.5364,0.7046996
1,1,0,9,-15,9.106638,353.4813,359.2595
1,1,0,9,-15,9.377412,347.9877,357.9478
1,1,0,9,-15,12.60956,345.9719,354.8743
1,1,0,9,-15,15.7079,347.7238,353.8685
1,1,0,9,-15,17.46173,347.9218,354.4075
1,1,0,9,-15,16.37698,345.1581,355.7942
