ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
00,1,4,4,11.34727,-9,15.6,20.83243,185.2683,8.816766
00,1,4,4,11.45908,-9,15.6,19.15876,168.8012,5.784252
00,1,4,4,11.57069,-9,15.6,16.58211,143.4781,0.43987
00,1,4,4,11.68229,-9,15.6,13.45725,122.3615,358.8471
00,1,4,4,11.79414,-9,15.6,11.24097,110.5381,359.402
00,1,4,4,11.90571,-9,15.6,10.22934,104.715,359.7538
00,1,4,4,12.01748,-9,15.6,13.8116,102.0276,0.2808832
00,1,4,4,12.12911,-9.026912,15.4788,16.00236,105.5141,2.12747
00,1,4,4,12.24107,-9.142192,15.19373,12.59522,124.5073,6.277151
00,1,4,4,12.3525,-9.389492,14.94741,7.996282,150.4175,10.2943
00,1,4,4,12.46434,-9.726071,14.89918,6.56651,166.5126,11.43158
00,1,4,4,12.57633,-10.12233,15.063,7.105896,175.9418,11.58867
00,1,4,4,12.68812,-10.4303,15.24628,7.024104,186.5329,11.16874
00,1,4,4,12.80011,-10.4352,15.24675,6.639732,197.1382,10.68278
00,1,4,4,12.9114,-10.4352,15.24675,6.306442,206.8831,10.04155
00,1,4,4,13.02349,-10.4352,15.24675,6.052842,215.9588,9.222412
00,1,4,4,13.13506,-10.4352,15.24675,7.311551,220.955,8.538036
00,1,4,4,13.24765,-10.4248,15.23758,9.142704,222.6587,7.88361
00,1,4,4,13.35918,-10.19102,15.03225,10.50914,222.9253,6.395854
00,1,4,4,13.47013,-9.848661,14.71511,11.24655,225.2497,6.116183
00,1,4,4,13.58171,-9.486139,14.41573,11.97994,226.8425,5.726532
00,1,4,4,13.69337,-9.069184,14.15903,11.21358,229.2714,5.004741
00,1,4,4,13.80528,-8.662834,13.89256,9.933096,231.9688,5.07461
00,1,4,4,13.91718,-8.267298,13.60381,8.530737,235.8354,5.001763
00,1,4,4,14.02866,-7.941697,13.25675,9.626637,240.2979,4.699253
00,1,4,4,14.14034,-7.671673,12.87131,10.70848,242.5238,3.881599
00,1,4,4,14.25214,-7.41619,12.47508,12.43005,244.3717,3.467093
00,1,4,4,14.36379,-7.175357,12.07026,13.24931,246.6868,2.189904
00,1,4,4,14.47541,-6.944225,11.66158,14.43732,248.8917,1.87898
00,1,4,4,14.58739,-6.870633,11.55851,15.3863,250.3705,2.424806
00,1,4,4,14.69907,-6.870633,11.55851,17.19473,253.2207,1.850451
00,1,4,4,14.81061,-6.870633,11.55851,17.26573,257.2762,2.32152
00,1,4,4,14.92231,-6.870633,11.55851,16.99782,260.6909,2.437693
