ParticipantID,BlockID,trialID,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
1,1,2,-9,15,11.24823,312.2918,0.5745819
1,1,2,-9,15,11.10243,312.4253,0.7172816
1,1,2,-9,15,11.07898,312.9776,0.722403
1,1,2,-9,15,11.02616,316.4073,0.257603
1,1,2,-9,15,10.70553,330.0753,0.1849565
1,1,2,-9,15,9.253558,351.1887,0.5908365
1,1,2,-9,15,7.548399,12.63358,0.5483692
1,1,2,-9,15,7.35869,25.6675,359.737
1,1,2,-9,15,8.202981,36.32117,359.816
1,1,2,-9,15,8.441231,39.10069,359.9017
1,1,2,-9,15,8.840693,24.4777,359.7262
1,1,2,-9,15,8.373614,352.104,359.2606
1,1,2,-9,15,6.488369,288.6767,359.7143
1,1,2,-9,15,5.750959,252.373,358.5865
1,1,2,-9,15,6.661578,235.4667,359.1752
1,1,2,-9,15,7.396477,223.789,359.7423
1,1,2,-9,15,7.847909,206.1336,0.09188832
1,1,2,-9,15,7.8873,184.0462,0.09223805
1,1,2,-8.97,14.85001,7.227194,166.8582,359.778
1,1,2,-8.808084,14.26977,7.975993,160.5748,359.5604
1,1,2,-8.622808,13.55412,9.116766,164.8405,0.3533253
1,1,2,-8.173418,13.03924,9.139741,168.9977,0.7039124
1,1,2,-7.568254,12.48204,8.769543,172.0365,0.4056065
1,1,2,-7.014079,11.95423,9.053322,172.0805,1.068185
1,1,2,-6.682964,11.34911,8.80233,172.99,0.9829702
1,1,2,-6.61134,10.6603,7.909551,174.293,1.453857
1,1,2,-6.538368,10.01729,7.982827,173.1,1.25846
1,1,2,-6.435775,9.424121,7.433303,172.9505,1.322868
1,1,2,-6.151049,8.807351,7.370753,172.7934,1.093674
1,1,2,-5.498308,8.291128,7.074598,171.6916,1.305063
1,1,2,-4.700953,7.71364,7.483651,171.181,1.295307
1,1,2,-3.990814,7.16919,7.541673,171.236,1.409611
1,1,2,-3.485934,6.642144,7.754379,170.7465,1.454602
1,1,2,-3.173747,6.038688,7.946604,170.2901,1.398179
1,1,2,-2.917036,5.427471,8.375389,169.9679,1.01142
1,1,2,-2.455831,4.808839,8.904394,169.6227,1.278126
1,1,2,-1.708101,4.292542,8.960094,169.675,1.409054
1,1,2,-1.023778,3.476491,9.136335,171.2774,1.552951
1,1,2,-0.8630121,2.567998,8.765186,173.2502,1.355976
1,1,2,-0.7596846,1.88274,8.301575,173.8123,1.792631
1,1,2,-0.6705135,1.288764,8.34549,173.5691,1.818107
1,1,2,-0.5632464,0.6041003,8.222915,173.1181,1.811529
1,1,2,-0.4590143,-0.0344168,8.29397,172.9149,1.887394
1,1,2,-0.3641745,-0.6275195,8.297862,173.392,1.795128
1,1,2,-0.2740656,-1.221499,8.18965,173.705,1.700391
1,1,2,-0.1789318,-1.861435,8.359285,173.9053,1.606732
1,1,2,0.08466713,-2.528831,8.602664,173.9406,1.607625
1,1,2,0.4527816,-3.137995,8.754644,173.9227,1.562729
1,1,2,0.7013221,-3.713779,9.041533,174.188,1.37807
1,1,2,0.8710934,-4.344662,9.221176,174.3628,1.272748
1,1,2,1.000611,-4.933396,9.274046,174.536,1.14904
1,1,2,1.153851,-5.658836,9.272312,174.7298,1.083898
1,1,2,1.273692,-6.249265,9.086433,175.0198,1.107953
1,1,2,1.341679,-6.890879,9.106079,175.1662,1.021848
1,1,2,1.395255,-7.533766,9.138975,175.2669,1.005267
1,1,2,1.444559,-8.130506,9.313072,175.3019,0.8464858
1,1,2,1.50102,-8.81881,9.487761,175.2892,0.8164703
1,1,2,1.554853,-9.460578,9.856425,175.0961,0.8392378
1,1,2,1.606763,-10.05583,10.06782,174.9257,0.9888837
1,1,2,1.659968,-10.65061,10.22354,174.8263,1.236987
1,1,2,1.719004,-11.29091,10.14151,174.7061,1.471402
1,1,2,1.782446,-11.97726,9.982867,174.7587,1.630639
1,1,2,1.887594,-12.56755,9.846787,174.7657,1.81671
1,1,2,2.343089,-13.1697,9.961645,174.8029,1.920144
1,1,2,2.804115,-13.72625,9.814301,174.9274,2.046427
1,1,2,3.06739,-14.34857,9.759426,175.3311,2.041621
1,1,2,3.235089,-15.02708,9.708632,175.9681,1.908914
1,1,2,3.364532,-15.61718,9.77629,176.3466,1.803517
1,1,2,3.499739,-16.25343,9.873135,176.6515,1.770416
1,1,2,3.624303,-16.84424,9.92412,176.5835,1.756553
1,1,2,3.757786,-17.48045,10.20504,176.7617,1.659544
1,1,2,4.132591,-17.07927,10.81653,177.1071,1.523723
1,1,2,4.754348,-16.40477,11.38185,177.3811,1.284092
