ParticipantID,Session-number,BlockID,time-stamp,x,z
00,1,2,207.274,0,0
00,1,2,207.3861,0,0
00,1,2,207.4979,0,0
00,1,2,207.6095,0,0
00,1,2,207.7212,0,0
00,1,2,207.8327,0,0
00,1,2,207.9445,0,0
00,1,2,208.0561,0,0
00,1,2,208.1679,0,0
00,1,2,208.2797,0,0
00,1,2,208.3916,0,0
00,1,2,208.5034,0,0
00,1,2,208.6147,0,0
00,1,2,208.7262,0,0
00,1,2,208.8379,0,0
00,1,2,208.9497,0,0
00,1,2,209.0616,0,0
00,1,2,209.1733,0,-0.144856
00,1,2,209.285,0,-0.6836171
00,1,2,209.3967,0,-1.239171
00,1,2,209.5084,0.04001856,-1.79322
00,1,2,209.6202,0.2624903,-2.305399
00,1,2,209.7316,0.5811334,-2.754718
00,1,2,209.8432,0.9374251,-3.172106
00,1,2,209.9551,1.29614,-3.586669
00,1,2,210.0669,1.686404,-4.045893
00,1,2,210.1786,2.031675,-4.469467
00,1,2,210.2902,2.376676,-4.893699
00,1,2,210.4025,2.716593,-5.320676
00,1,2,210.5138,3.008813,-5.79401
00,1,2,210.6254,3.234635,-6.311397
00,1,2,210.7371,3.391567,-6.866951
00,1,2,210.8486,3.508949,-7.422504
00,1,2,210.9612,3.622703,-7.978057
00,1,2,211.0721,3.726251,-8.533611
00,1,2,211.184,3.738518,-9.089165
00,1,2,211.2959,3.738518,-9.644718
00,1,2,211.4075,3.738518,-10.20027
00,1,2,211.519,3.738518,-10.75583
00,1,2,211.6308,3.738518,-11.31138
00,1,2,211.7423,3.738518,-11.59711
00,1,2,211.8541,3.738518,-11.59711
00,1,2,211.9661,3.738518,-11.59711
00,1,2,212.0777,3.566917,-11.52091
00,1,2,212.1892,3.086993,-11.23743
00,1,2,212.301,2.619623,-10.95949
00,1,2,212.4126,2.322866,-10.79496
00,1,2,212.5241,2.322866,-10.79496
00,1,2,212.636,2.322866,-10.79496
00,1,2,212.748,2.322866,-10.79496
00,1,2,212.8595,2.322866,-10.79496
00,1,2,212.971,2.322866,-10.79496
00,1,2,213.083,2.492876,-10.76248
00,1,2,213.1945,2.492876,-10.76248
00,1,2,213.3063,2.492876,-10.76248
00,1,2,213.418,2.492876,-10.76248
00,1,2,213.5297,2.492876,-10.76248
00,1,2,213.6413,2.492876,-10.76248
00,1,2,213.7528,2.49307,-10.76248
00,1,2,213.8646,2.503709,-10.76248
00,1,2,213.9763,2.503709,-10.76248
00,1,2,214.0879,2.503709,-10.76248
00,1,2,214.1998,2.727212,-10.76248
00,1,2,214.3116,2.893878,-10.76248
00,1,2,214.4231,2.893878,-10.76248
00,1,2,214.535,2.893878,-10.76248
00,1,2,214.6467,2.893878,-10.76248
00,1,2,214.7584,2.893878,-10.76248
00,1,2,214.8701,2.466417,-10.76248
00,1,2,214.9818,2.466417,-10.76248
00,1,2,215.0935,2.466417,-10.76248
00,1,2,215.205,2.466417,-10.76248
00,1,2,215.3168,2.466417,-10.76248
00,1,2,215.4286,2.466417,-10.76248
00,1,2,215.5402,2.069541,-10.76248
00,1,2,215.6521,1.888516,-10.75696
00,1,2,215.7637,1.888516,-10.75696
00,1,2,215.8753,1.888516,-10.75696
00,1,2,215.9871,1.888516,-10.73317
00,1,2,216.0989,1.888516,-10.27394
00,1,2,216.2106,1.888516,-10.27394
00,1,2,216.3221,1.888516,-10.27394
00,1,2,216.434,1.888516,-10.27394
00,1,2,216.5457,1.888516,-10.27394
00,1,2,216.6574,1.888516,-10.27394
00,1,2,216.769,1.888516,-10.27394
00,1,2,216.8806,1.888516,-10.27394
00,1,2,216.9923,1.888516,-10.27394
00,1,2,217.1039,1.888516,-10.27394
00,1,2,217.2159,1.888516,-10.27394
00,1,2,217.3275,1.888516,-10.27394
00,1,2,217.4391,1.888516,-10.27394
00,1,2,217.5509,1.888516,-10.27394
00,1,2,217.6628,1.888516,-10.27394
00,1,2,217.7742,1.888516,-10.27394
00,1,2,217.886,1.888516,-10.27394
00,1,2,217.9979,1.888516,-10.27394
00,1,2,218.1095,1.888516,-10.27394
00,1,2,218.2213,1.888516,-10.27394
00,1,2,218.3328,1.888516,-10.27394
00,1,2,218.4445,1.888516,-10.27394
00,1,2,218.5562,1.888516,-10.27394
00,1,2,218.6684,1.910014,-10.26073
00,1,2,218.7798,2.152071,-9.987278
00,1,2,218.8913,2.418618,-9.501867
00,1,2,219.003,2.559871,-8.950857
00,1,2,219.115,2.563279,-8.395304
00,1,2,219.2266,2.563279,-7.83975
00,1,2,219.3382,2.561964,-7.325059
00,1,2,219.4499,2.561964,-7.325059
00,1,2,219.5617,2.561964,-7.325059
00,1,2,219.6732,2.561964,-7.504047
00,1,2,219.785,2.561964,-7.665307
00,1,2,219.8969,2.561964,-7.665307
00,1,2,220.0083,2.561964,-7.665307
00,1,2,220.1201,2.561964,-7.665307
