ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
00,1,4,1,11.34727,18,0,29.89366,349.9144,345.8167
00,1,4,1,11.45908,18,0,32.01409,348.0898,345.8904
00,1,4,1,11.57069,18,0,33.13913,353.1512,346.9242
00,1,4,1,11.68229,18,0,31.64742,4.461926,349.9543
00,1,4,1,11.79414,18,0,29.88607,17.96461,352.583
00,1,4,1,11.90571,18,0,29.95032,40.85581,355.8178
00,1,4,1,12.01748,18,0,28.6779,73.99178,2.887762
00,1,4,1,12.12911,18,0,22.17958,107.6772,9.601164
00,1,4,1,12.24107,18,0,15.16915,130.8462,10.23533
00,1,4,1,12.3525,18,0,12.24735,140.0034,7.208489
00,1,4,1,12.46434,18,0,8.44274,129.8818,1.925768
00,1,4,1,12.57633,18,0,3.221688,98.94209,358.0226
00,1,4,1,12.68812,18,0,0.4756614,78.06516,357.7049
00,1,4,1,12.80011,18,0,2.276098,73.7181,358.7511
00,1,4,1,12.9114,18,0,3.939203,83.47385,1.661809
00,1,4,1,13.02349,18,0,4.060472,108.4195,4.5291
00,1,4,1,13.13506,18,0,3.685001,143.5415,6.135802
00,1,4,1,13.24765,18,0,3.534258,176.3404,6.05385
00,1,4,1,13.35918,18,0,3.732899,197.5561,5.027941
00,1,4,1,13.47013,18,0,3.772457,209.5984,3.89516
00,1,4,1,13.58171,18,0,2.68819,217.358,2.005204
00,1,4,1,13.69337,18,0,2.643313,225.9471,0.9170736
00,1,4,1,13.80528,18,0,2.649392,242.057,359.7249
00,1,4,1,13.91718,18,0,4.334018,256.8454,359.6083
00,1,4,1,14.02866,18,0,5.249616,265.8841,0.2665071
00,1,4,1,14.14034,17.99648,0.0001052758,5.863111,272.2453,0.8528075
00,1,4,1,14.25214,17.88637,0.005559588,8.968923,272.7342,0.8612864
00,1,4,1,14.36379,17.60153,0.0130974,8.560159,270.3071,0.87522
00,1,4,1,14.47541,17.15606,-0.0169147,7.177654,268.7772,1.068086
00,1,4,1,14.58739,16.69224,-0.08547883,7.433856,268.3907,1.267911
00,1,4,1,14.69907,16.2297,-0.1607315,7.274752,267.1423,2.069736
00,1,4,1,14.81061,15.76934,-0.2500413,6.337383,265.5779,2.758785
00,1,4,1,14.92231,15.34165,-0.4133237,5.068105,264.3896,2.518031
00,1,4,1,15.03408,14.95218,-0.6332278,4.506264,264.2369,2.789638
00,1,4,1,15.14561,14.56507,-0.8533826,4.242913,265.118,3.102089
