ParticipantID,Session-number,BlockID,trialID,time-stamp,position-x,position-z,head-yaw-x,head-yaw-y,head-yaw-z
23,1,2,0,5.765531,-18,0,357.6446,255.887,359.8717
23,1,2,0,5.875813,-18,0,357.6324,255.8766,359.8806
23,1,2,0,5.987549,-18,0,357.63,255.8812,359.8682
23,1,2,0,6.099546,-18,0,357.615,255.8727,359.864
23,1,2,0,6.21121,-18,0,357.6147,255.8807,359.8546
23,1,2,0,6.32284,-18,0,357.6154,255.8882,359.8553
23,1,2,0,6.434556,-18,0,357.6012,255.8848,359.8674
23,1,2,0,6.546367,-17.86312,0.03442464,357.6002,255.8925,359.856
23,1,2,0,6.657808,-17.44489,0.139587,357.6114,255.8858,359.861
23,1,2,0,6.770116,-16.98865,0.2542554,357.6208,255.8878,359.8608
23,1,2,0,6.881428,-16.53364,0.3686677,357.6186,255.8909,359.869
23,1,2,0,6.994032,-16.08004,0.4827224,357.6317,255.888,359.8694
23,1,2,0,7.105373,-15.62839,0.6108633,357.647,255.8849,359.859
23,1,2,0,7.217435,-15.18653,0.7732656,357.6526,255.8859,359.8714
23,1,2,0,7.328594,-14.74366,0.9432301,357.6432,255.8892,359.8511
23,1,2,0,7.440222,-14.30454,1.112074,357.6433,255.8927,359.8588
23,1,2,0,7.551955,-13.86403,1.281474,357.6425,255.9007,359.8581
23,1,2,0,7.663651,-13.42283,1.452694,357.6395,255.8938,359.8691
23,1,2,0,7.775293,-12.98321,1.623457,357.6371,255.8921,359.8546
23,1,2,0,7.886967,-12.54333,1.794363,357.6418,255.8975,359.869
23,1,2,0,7.998784,-12.10173,1.965919,357.6372,255.888,359.8591
23,1,2,0,8.110617,-11.66237,2.136633,357.6411,255.8947,359.867
23,1,2,0,8.222095,-11.22226,2.307653,357.6468,255.8811,359.8586
23,1,2,0,8.333806,-10.78043,2.479338,357.6266,255.895,359.8482
23,1,2,0,8.445732,-10.34185,2.64973,357.6235,255.8862,359.8506
23,1,2,0,8.557845,-9.90101,2.821041,357.6279,255.892,359.8588
23,1,2,0,8.668999,-9.462518,3.001462,357.6319,255.8909,359.8597
23,1,2,0,8.780582,-9.10546,3.305176,357.64,255.889,359.8528
23,1,2,0,8.892491,-8.89111,3.71529,357.6365,255.8837,359.8601
23,1,2,0,9.003784,-8.768434,4.168834,357.6413,255.8929,359.8672
23,1,2,0,9.115946,-8.752614,4.640835,357.6526,255.8932,359.8607
23,1,2,0,9.227477,-8.812923,5.108608,357.656,255.8922,359.8575
23,1,2,0,9.339045,-8.925571,5.56429,357.656,255.8803,359.8629
23,1,2,0,9.450962,-9.040035,6.019474,357.6453,255.8955,359.8572
23,1,2,0,9.562606,-9.164552,6.4715,357.6628,255.8969,359.8552
23,1,2,0,9.674091,-9.409554,6.882739,357.6603,255.8874,359.8555
23,1,2,0,9.786028,-9.773252,7.200881,357.6505,255.8854,359.8578
23,1,2,0,9.898292,-10.23903,7.336504,357.6599,255.8954,359.864
23,1,2,0,10.00918,-10.69681,7.233498,357.6617,255.8912,359.8599
23,1,2,0,10.12137,-11.15102,7.118979,357.6583,255.8921,359.8589
23,1,2,0,10.23294,-11.54324,6.875215,357.653,255.8903,359.86
23,1,2,0,10.34444,-11.65853,6.43653,357.6703,255.8973,359.8607
23,1,2,0,10.45612,-11.54602,5.981804,357.6749,255.8919,359.8644
23,1,2,0,10.56813,-11.41649,5.529305,357.6813,255.891,359.8566
23,1,2,0,10.67972,-11.25999,5.086855,357.6687,255.8907,359.8627
